year,county,Hospitality,Admin Support and Waste Mangmt.,"Ag., Forestry, Fishing, Hunting",Arts and Recreation,Construction,Education,Finance and Insurance,"Health Care, Social Assistance",Information,Management,Manufacturing,Mining,Other Services,"Professional, Scientific, and Technical Services",Public Administration,Real Estate Rental and Leasing,Retail Trade,Transportation and Warehousing,Utilities,Wholesale Trade
1/1/06,Lincoln,3167400,713463,79680,836969,16703576,6660,571224,108737,4206864,0,203591,0,5605687,2347825,0,1374219,11407399.5,0,211585,9629182
1/1/06,Mason,44422663,12160475,1786949,4062057,142661007,557570,6419165,661758,24351712,0,4572067.333,1052558,19032913,5509311,139596,7117849,111194784,1418263.5,436010,19019682
1/1/06,Okanogan,43254047,4647233,3477304,3644619,91643553,385435,3705671,1010726,16439460,0,1872685.333,29758,19776637,3820173,0,6097222,97129569,391260,2597413,32612990
1/1/06,Pacific,32971037,2110993,810164,2169735,50669280,89128,2543561,256548,9733199,0,1261474,2148987,6222046,1925906,71132,3539960,31317431.5,1057877.5,88695,10820110
1/1/06,Pend Oreille,6874446,956508,726935,252204,28464152,3191,918381,132306,4467540,,855302.3333,2692948,2240293,1070616,26274,1427357,12047409,0,77111,12560035
1/1/06,Pierce,955437798,212968153,10638394,104782542,2331802282,11731177,128818041,32028905,464076028,3028908,117667490,12297976,191405465,114297938,2437597,300761201,2980119207,21915360,4452205,723534434
1/1/06,San Juan,53667912,10836745,3217912,5476755,132686549,188587,1914119,231168,9110930,0,2562694.333,53607,7906585,8563960,0,7763568,45829403,1060551.5,154027,10954081
1/1/06,Skagit,167752586,29196231,3623904,23045589,433644838,3319859,12037444,5256568,63516099,0,30646159.67,887034,57328912,26339704,256845,46600773,644023457.5,8882005.5,518625,173078310
1/1/06,Skamania,29277838,1248783,261090,265432,23655962,750,812957,12221,3655662,,359920,0,1527142,404170,0,2348016,8485887.5,287591,131186,4302655
1/1/06,Snohomish,873442479,181311516,6752588,79182269,2058765347,14148141,122134644,19215901,431162159,939386,86242854.33,25584842,155758808.5,158071530,3304758,241671136,2723149634,14460529,4110271,648586641
1/1/06,Spokane,662627637,140828174,3323749,41533097,1085868824,16589590,66911684,19639455,296800480,923179,73271881.33,1032496,111847857,100666484,5658470,184605831,1798903945,10240345.5,2647509,584692373
1/1/06,Stevens,23429164,3131425,1144191,4796929,60657997,391465,2951957,1414903,14749527,0,2931448.333,323226,14501370,2890596,0,4320250,87154541.5,268943.5,143996,16347004
1/1/06,Thurston,235698968,78071948,1439206,15400436,628106033,3472017,25437547,9320568,109416505,126709,20519100.67,6220938,107060539,70488796,7521428,71851984,782189638.5,1981178.5,450942,184110905
1/1/07,Adams,15232345,1977862,564722,287848,27973354,326230,905074,55293,11004670,14110,1301838.333,,8090928,1661953,0,3581432,30307746,107399,3278644,44238060
1/1/07,Asotin,23383692,3463021,8144,2707523,28843272,90745,1076628,1075632,5424667,0,993807.3333,0,4642719,2328122,0,4567224,48244579,513439,0,11488218
1/1/07,Benton,237943443,45550685,1562139,19538363,481712653,1816032,20441351,6364166,100620248,763866,13539215.67,0,30998763.5,44583738,22847,48593550,640736843.5,850627,2601812,175247112
1/1/07,Chelan,166028233,22208927,1872597,14751492,287086340,1822385,17929013,4615647,44557815,96965,16868186.67,451955,34931585,20128039,446260,34345615,331417759.5,2113754,4030531,121196394
1/1/07,Clallam,100413667,13860273,4014891,7902443,230823936,1954499,4878924,3516316,40068653,15951,9226922.667,990566,35949033,12021750,124231,16089920,250365117,2362895,226921,57106710
1/1/07,Clark,460656023,112395555,9897812,43498682,1016443073,9746034,48283163,14956596,227936325,1129341,39537842,1575671,153653799,57081416,764408,108396285,1060693224,8564456,7511533,316694487
1/1/07,Columbia,2717665,494146,88399,86203,13339784,7838,120102,76543,1713867,,310853.6667,0,2262605,482857,,1074217,4629227.5,85005,0,7801008
1/1/07,Cowlitz,124907550,16123816,3347913,10013892,248098667,2883090,6145936,2879576,55567972,106442,10178572,2866677,37918388,17980066,736581,29545183,350690454.5,2905506.5,1337355,109187981
1/1/07,Douglas,27533273,5059955,672269,5621064,86245447,909606,1444867,529682,13140999,7557,2213416.667,0,8138903,2763956,0,6227443,117480633.5,143243.5,826480,55250614
1/1/07,Ferry,4486923,341132,91064,167816,10022669,7097,84535,58227,2254783,,244220,0,1272325,204210,0,905893,6383646.5,,0,4770000
1/1/07,Franklin,60601467,12386426,2350485,5166267,251169221,202436,5598672,1878233,34216717,89231,12857304,1260060,25426521,6742273,158673,48174612,201885042.5,2546619,662362,150152211
1/1/07,Garfield,652917,138775,0,17128,4651952,2204,39543,0,782266,,18909,0,556678,113071,0,575485,3497605.5,0,0,2510260
1/1/07,Grant,95123793,17217383,4907383,7666065,460375927,1590403,11727477,2547500,41113915,4481,41765727,3505695,44126974,29421917,22461,28506495,240948340,1416929,13213944,165364676
